AnoMesReferencia;UF;NomeMunicipioSIAFI;CodigoMunicipioSIAFI;meanValor;sdValor;nBeneficios;quantile25;quantile75;quantile01;quantile99;minValor;maxValor
201512;AC;ACRELANDIA; 643;186,76687;104,92842;  1926;112,00;232,00; 35,00;540,00; 35; 816
201512;AC;ASSIS BRASIL; 157;300,95551;164,78423;   944;172,00;387,00; 77,00;772,00; 35; 926
201512;AC;BRASILEIA; 105;187,33972;105,50655;  3391;112,00;232,00; 35,00;550,30; 35; 848
201512;AC;BUJARI; 645;191,90757;110,33592;  1255;112,00;233,00; 35,00;575,38; 35; 734
201512;AC;CAPIXABA; 647;173,81181;102,57292;  1185;112,00;217,00; 35,00;554,88; 35; 848
201512;AC;CRUZEIRO DO SUL; 107;281,21506;153,91404;  9416;156,00;369,00; 42,00;742,00; 35;1156
201512;AC;EPITACIOLANDIA; 651;184,46283;101,31278;  1722;112,00;232,00; 35,00;538,32; 35; 902
201512;AC;FEIJO; 113;286,81155;152,47818;  5158;156,00;386,00; 77,00;762,00; 35;1010
201512;AC;JORDAO; 653;312,62353;172,31999;  1105;182,00;404,00; 70,28;825,12; 35; 926
201512;AC;MANCIO LIMA; 109;295,90770;159,79313;  2481;156,00;386,00; 77,00;772,00; 35;1157
201512;AC;MANOEL URBANO; 155;324,37616;170,35504;  1292;216,50;387,00; 77,00;804,18; 35;1112
201512;AC;MARECHAL THAUMATURGO; 655;298,62447;164,39179;  2370;181,00;386,00; 77,00;804,31; 35;1002
201512;AC;PLACIDO DE CASTRO; 151;174,00166; 93,33810;  1807;112,00;217,00; 35,00;536,82; 35; 628
201512;AC;PORTO ACRE; 649;206,42469;112,30403;  2357;119,00;259,00; 35,00;551,76; 35; 849
201512;AC;PORTO WALTER; 657;290,48536;167,47114;  1298;155,00;385,00; 70,00;769,39; 35;1052
201512;AC;RIO BRANCO; 139;177,63533; 99,12983; 25604;112,00;224,00; 35,00;522,00; 35;1002
201512;AC;RODRIGUES ALVES; 659;225,43614;131,39792;  2247;134,00;286,00; 35,00;665,56; 35; 964
201512;AC;SANTA ROSA DO PURUS; 661;370,12753;173,88362;   643;233,00;464,00; 77,00;772,00; 35; 848
201512;AC;SENA MADUREIRA; 145;247,57151;136,04207;  5335;147,00;309,00; 70,00;674,64; 35;1024
201512;AC;SENADOR GUIOMARD; 153;231,42351;120,38993;  2373;154,00;309,00; 42,00;617,00; 35; 772
201512;AC;TARAUACA; 147;321,97251;172,29111;  5129;189,00;416,00; 70,00;826,00; 35;1080
201512;AC;XAPURI; 149;184,85480; 97,39139;  1949;112,00;224,00; 35,00;516,64; 35; 694
201512;AL;AGUA BRANCA;2701;246,23987;141,41717;  2864;147,00;310,00; 35,00;694,00; 35;1002
201512;AL;ANADIA;2703;145,62393; 70,93120;  2792;112,00;182,00; 35,00;415,54; 35; 742
201512;AL;ARAPIRACA;2705;146,11089; 71,91692; 23988;112,00;182,00; 35,00;387,00; 35; 860
201512;AL;ATALAIA;2707;157,10301; 83,62791;  7601;112,00;186,00; 35,00;453,00; 35; 826
201512;AL;BARRA DE SANTO ANTONIO;2709;176,20539; 87,54354;  2595;112,00;217,00; 42,00;464,00; 35; 694
201512;AL;BARRA DE SAO MIGUEL;2711;173,53486; 83,60209;   918;112,00;209,00; 35,00;440,64; 35; 601
201512;AL;BATALHA;2713;214,68887;107,43290;  2793;131,00;282,00; 70,00;513,48; 35; 794
201512;AL;BELEM;2715;172,85160; 94,51930;   748;112,00;217,00; 35,00;520,37; 35; 841
201512;AL;BELO MONTE;2717;220,40897;109,24647;  1472;139,00;286,00; 77,00;522,90; 42; 762
201512;AL;BOCA DA MATA;2719;173,48285; 96,76546;  3906;112,00;217,00; 35,00;539,50; 35; 830
201512;AL;BRANQUINHA;2721;154,73519; 64,91658;  1688;112,00;182,00; 42,00;386,00; 35; 578
201512;AL;CACIMBINHAS;2723;204,20037;108,90551;  2136;124,00;262,00; 77,00;554,00; 35; 996
201512;AL;CAJUEIRO;2725;146,84191; 63,61058;  3479;112,00;182,00; 35,00;385,22; 35; 750
201512;AL;CAMPESTRE; 560;170,96125; 85,83651;  1084;112,00;210,00; 77,00;470,51; 35; 686
201512;AL;CAMPO ALEGRE;2727;128,78570; 53,75959;  7149; 77,00;147,00; 70,00;307,52; 35; 596
201512;AL;CAMPO GRANDE;2729;259,74868;128,28527;  2077;156,00;310,00; 77,00;618,00; 35; 878
201512;AL;CANAPI;2731;237,11453;124,95452;  3414;143,00;294,00; 77,00;650,00; 35; 898
201512;AL;CAPELA;2733;160,80087; 86,02328;  2516;112,00;189,00; 35,00;469,10; 35; 694
201512;AL;CARNEIROS;2735;268,40417;133,84819;  1440;156,00;310,00; 77,00;694,00; 35; 848
201512;AL;CHA PRETA;2737;247,22477;127,41846;  1219;155,00;310,00; 77,00;617,00; 35; 926
201512;AL;COITE DO NOIA;2739;212,26105;106,65575;  1900;133,75;274,00; 41,93;546,08; 35; 886
201512;AL;COLONIA LEOPOLDINA;2741;171,06738;102,49703;  3473;112,00;210,00; 70,00;541,00; 35; 911
201512;AL;COQUEIRO SECO;2743;161,19042; 85,03062;   835;112,00;189,00; 35,00;481,16; 35; 732
201512;AL;CORURIPE;2745;141,70476; 59,01680;  6388;112,00;175,00; 35,00;344,00; 35; 550
201512;AL;CRAIBAS;2889;223,08523;110,49855;  4470;144,00;290,00; 70,00;548,17; 35; 926
201512;AL;DELMIRO GOUVEIA;2747;160,55655; 83,19246;  5464;112,00;187,00; 35,00;464,00; 35; 848
201512;AL;DOIS RIACHOS;2749;135,18256; 61,36794;  2213; 77,00;154,00; 77,00;360,56; 35; 570
201512;AL;ESTRELA DE ALAGOAS;2643;205,02841;110,84804;  2921;119,00;265,00; 42,00;583,60; 35; 964
201512;AL;FEIRA GRANDE;2751;163,67000; 77,31753;  4094;112,00;208,00; 70,00;417,07; 35; 846
201512;AL;FELIZ DESERTO;2753;140,16809; 69,16459;   821; 79,00;182,00; 35,00;367,80; 35; 498
201512;AL;FLEXEIRAS;2755;159,85604; 86,86724;  2334;112,00;192,75; 70,00;473,00; 35; 866
201512;AL;GIRAU DO PONCIANO;2757;196,48325;104,40308;  5730;116,00;237,00; 70,00;541,00; 35; 849
201512;AL;IBATEGUARA;2759;184,26261; 98,65130;  2418;112,00;230,00; 35,00;510,98; 35; 782
201512;AL;IGACI;2761;231,98983;115,22702;  4820;148,00;301,00; 77,00;578,00; 35; 827
201512;AL;IGREJA NOVA;2763;135,93545; 58,17705;  4090;112,00;154,00; 35,00;316,00; 35; 632
201512;AL;INHAPI;2765;217,01996;126,48032;  3307;122,00;281,00; 35,00;630,52; 35;1010
201512;AL;JACARE DOS HOMENS;2767;150,30989; 67,81627;   981;112,00;182,00; 70,00;388,40; 35; 651
201512;AL;JACUIPE;2769;137,69767; 57,98498;  1204; 77,00;161,00; 77,00;316,91; 35; 496
201512;AL;JAPARATINGA;2771;193,56324;104,83291;  1344;112,00;245,00; 70,00;513,14; 35; 806
201512;AL;JARAMATAIA;2773;179,41692;100,71579;  1005;112,00;224,00; 70,00;537,52; 35; 804
201512;AL;JEQUIA DA PRAIA; 562;192,71960;102,95206;  2097;112,00;233,00; 70,00;526,56; 35;1002
201512;AL;JOAQUIM GOMES;2775;189,54729;113,91474;  4208;112,00;233,00; 70,00;541,00; 35;1080
201512;AL;JUNDIA;2777;209,13995;120,56021;   736;119,00;309,00; 72,45;618,00; 35; 772
201512;AL;JUNQUEIRO;2779;160,80149; 77,37358;  4025;112,00;196,00; 77,00;417,52; 35; 750
201512;AL;LAGOA DA CANOA;2781;188,58756; 98,09102;  3312;112,00;233,00; 70,00;483,34; 35; 712
201512;AL;LIMOEIRO DE ANADIA;2783;198,80434; 99,87353;  4564;119,00;261,00; 77,00;506,00; 35; 842
201512;AL;MACEIO;2785;140,51778; 66,49376; 77235;112,00;164,00; 35,00;367,00; 35; 924
201512;AL;MAJOR ISIDORO;2787;155,69383; 72,29401;  3191;112,00;185,00; 77,00;408,10; 35; 694
201512;AL;MAR VERMELHO;2797;249,42466;125,36227;   657;155,00;309,00; 77,00;618,00; 35; 926
201512;AL;MARAGOGI;2789;155,13921; 76,51509;  4784;112,00;182,00; 77,00;442,17; 35; 924
201512;AL;MARAVILHA;2791;177,89845;100,16058;  1930;112,00;224,00; 77,00;496,26; 35; 976
201512;AL;MARECHAL DEODORO;2793;177,06705; 99,57312;  6756;112,00;218,00; 35,00;522,00; 35; 878
201512;AL;MARIBONDO;2795;144,75220; 75,83657;  1820; 84,00;176,50; 35,00;433,81; 35; 771
201512;AL;MATA GRANDE;2799;176,14123; 93,88422;  3852;112,00;217,00; 77,00;501,43; 35; 946
201512;AL;MATRIZ DE CAMARAGIBE;2801;154,00806; 77,54071;  4095;112,00;185,00; 35,00;442,00; 35; 672
201512;AL;MESSIAS;2803;145,44011; 73,60519;  2204;112,00;182,00; 35,00;403,79; 35; 926
201512;AL;MINADOR DO NEGRAO;2805;202,97712;111,85821;   874;119,50;261,00; 42,00;582,13; 35; 772
201512;AL;MONTEIROPOLIS;2807;183,17292; 92,50062;  1307;112,00;222,00; 77,00;489,94; 35; 782
201512;AL;MURICI;2809;176,79628; 93,13903;  4354;112,00;217,00; 35,00;513,47; 35; 771
201512;AL;NOVO LINO;2811;173,54922; 98,67820;  2174;112,00;224,00; 35,00;497,00; 35; 772
201512;AL;OLHO D'AGUA DAS FLORES;2813;143,53810; 56,51621;  2769;112,00;182,00; 70,00;336,32; 35; 530
201512;AL;OLHO D'AGUA DO CASADO;2815;200,95575;116,88348;  1514;112,00;261,00; 35,00;592,83; 35; 742
201512;AL;OLHO D'AGUA GRANDE;2817;266,32393;126,90299;  1099;156,00;310,00; 77,00;686,16; 70; 990
201512;AL;OLIVENCA;2819;238,98077;120,02208;  1976;152,00;305,00; 77,00;617,00; 35;1002
201512;AL;OURO BRANCO;2821;200,71973;103,51961;  2073;123,00;253,00; 77,00;578,00; 35; 853
