AnoMesReferencia;UF;NomeMunicipioSIAFI;CodigoMunicipioSIAFI;meanValor;sdValor;nBeneficios;quantile25;quantile75;quantile01;quantile99;minValor;maxValor
201609;AC;ACRELANDIA; 643;208,19252;111,50352;  1844;124,00;256,00;39,00; 569,14;39; 904
201609;AC;ASSIS BRASIL; 157;308,64103;175,29967;  1092;171,00;397,00;78,00; 852,00;39;1022
201609;AC;BRASILEIA; 105;212,43579;118,25826;  3481;124,00;257,00;39,00; 622,60;39; 936
201609;AC;BUJARI; 645;216,77169;120,59624;  1314;131,00;257,00;39,00; 656,35;39; 838
201609;AC;CAPIXABA; 647;187,26520;114,88744;  1184;124,00;241,00;39,00; 599,74;39; 936
201609;AC;CRUZEIRO DO SUL; 107;304,35770;170,71942; 10039;170,00;402,00;39,00; 830,00;39;1276
201609;AC;EPITACIOLANDIA; 651;205,48237;112,00840;  1617;124,00;257,00;39,00; 584,68;39; 998
201609;AC;FEIJO; 113;323,53228;165,49608;  5452;172,00;426,00;85,00; 851,00;39;1122
201609;AC;JORDAO; 653;351,00176;192,12592;  1139;202,00;479,50;78,00; 920,82;39;1022
201609;AC;MANCIO LIMA; 109;328,36578;171,40166;  2835;172,00;426,00;85,00; 852,00;39;1277
201609;AC;MANOEL URBANO; 155;372,58631;186,14592;  1344;254,00;505,00;85,00; 921,38;39;1106
201609;AC;MARECHAL THAUMATURGO; 655;322,94021;180,70407;  2559;190,00;414,50;85,00; 873,36;39;1106
201609;AC;PLACIDO DE CASTRO; 151;195,01139;111,78110;  1756;124,00;241,00;39,00; 597,00;39; 767
201609;AC;PORTO ACRE; 649;220,70880;117,63882;  2476;131,00;269,00;39,00; 597,00;39; 937
201609;AC;PORTO WALTER; 657;320,50036;184,58511;  1379;176,00;433,00;78,00; 838,00;39;1122
201609;AC;RIO BRANCO; 139;204,33344;113,63620; 25468;124,00;256,00;39,00; 596,00;39;1022
201609;AC;RODRIGUES ALVES; 659;260,96238;152,88735;  2366;156,00;327,00;46,00; 752,00;39;1052
201609;AC;SANTA ROSA DO PURUS; 661;399,48348;188,08995;   666;257,00;511,00;82,55; 852,00;39;1022
201609;AC;SENA MADUREIRA; 145;277,50660;152,81232;  5531;163,00;351,50;39,00; 751,70;39;1080
