AnoMesReferencia;UF;NomeMunicipioSIAFI;CodigoMunicipioSIAFI;meanValor;sdValor;nBeneficios;quantile25;quantile75;quantile01;quantile99;minValor;maxValor
201909;AC;ACRELANDIA; 643;190,26718;103,40113;  1688;130,00;246,00; 41,00; 540,08; 41; 936
201909;AC;ASSIS BRASIL; 157;309,98672;179,24409;  1431;178,00;413,50; 41,00; 892,00; 41;1070
201909;AC;BRASILEIA; 105;195,39913;106,15922;  3222;130,00;246,00; 41,00; 576,00; 41; 958
201909;AC;BUJARI; 645;211,31869;121,06373;  1434;130,00;256,00; 41,00; 638,69; 41; 812
201909;AC;CAPIXABA; 647;227,08681;182,39393;  1486;130,00;260,00; 41,00;1154,20; 41;1603
201909;AC;CRUZEIRO DO SUL; 107;315,44913;171,46102; 10654;179,00;422,00; 41,00; 803,00; 41;1426
201909;AC;EPITACIOLANDIA; 651;202,13532;106,03016;  1781;130,00;254,00; 41,00; 557,40; 41; 892
201909;AC;FEIJO; 113;302,44335;158,41361;  4872;180,00;381,00; 82,00; 802,00; 41;1158
201909;AC;JORDAO; 653;377,00596;191,13419;  1343;226,50;526,00; 89,00; 892,00; 41;1070
201909;AC;MANCIO LIMA; 109;333,78837;164,00965;  3232;211,75;446,00; 89,00; 803,00; 41;1336
201909;AC;MANOEL URBANO; 155;331,34822;173,72722;  1746;180,00;446,00; 82,00; 807,95; 41;1070
201909;AC;MARECHAL THAUMATURGO; 655;302,61081;182,53220;  2793;171,00;397,00; 82,00; 870,16; 41;1058
201909;AC;PLACIDO DE CASTRO; 151;174,76566; 88,27594;  1549;130,00;212,00; 41,00; 521,24; 41; 802
201909;AC;PORTO ACRE; 649;213,42999;113,48896;  2728;130,00;260,00; 41,00; 613,76; 41; 878
201909;AC;PORTO WALTER; 657;323,51774;183,55397;  1522;188,00;420,00; 83,47; 879,48; 41;1136
201909;AC;RIO BRANCO; 139;226,81150;124,34936; 22912;130,00;269,00; 41,00; 624,00; 41;1070
201909;AC;RODRIGUES ALVES; 659;300,23434;165,92478;  2458;177,25;396,00; 85,99; 802,43; 41;1070
201909;AC;SANTA ROSA DO PURUS; 661;374,69496;199,12040;  1131;212,00;535,00; 89,60; 892,00; 48; 981
201909;AC;SENA MADUREIRA; 145;282,81327;148,02557;  6962;171,00;357,00; 82,00; 757,00; 41;1158
201909;AC;SENADOR GUIOMARD; 153;245,98915;132,95814;  4333;171,00;357,00; 89,00; 625,00; 41; 980
201909;AC;TARAUACA; 147;342,42742;184,32905;  7468;180,00;446,00; 89,00; 892,00; 41;1336
201909;AC;XAPURI; 149;197,68542; 98,22200;  2009;130,00;233,00; 41,00; 569,92; 41; 882
201909;AL;AGUA BRANCA;2701;298,31016;143,45818;  2863;180,00;358,00; 89,00; 714,00; 41;1070
201909;AL;ANADIA;2703;173,24813; 89,25462;  2668;100,50;212,00; 89,00; 494,00; 41;1034
201909;AL;ARAPIRACA;2705;183,44202; 95,02519; 18438;130,00;220,00; 41,00; 535,00; 41; 892
201909;AL;ATALAIA;2707;185,54789; 97,14108;  7465;130,00;221,00; 89,00; 527,72; 41; 980
201909;AL;BARRA DE SANTO ANTONIO;2709;182,66067; 97,43725;  3946; 91,00;235,00; 89,00; 514,00; 41; 722
201909;AL;BARRA DE SAO MIGUEL;2711;199,66667; 99,39527;  1239;130,00;256,00; 41,00; 523,00; 41; 731
201909;AL;BATALHA;2713;222,97079;117,64209;  3286;130,00;309,00; 89,00; 568,00; 41; 882
201909;AL;BELEM;2715;208,63390;111,81332;   885;130,00;268,00; 76,56; 543,64; 41; 802
201909;AL;BELO MONTE;2717;241,20647;120,87779;  1298;147,00;325,00; 89,00; 610,21; 41; 793
201909;AL;BOCA DA MATA;2719;204,71154;109,54668;  3692;130,00;268,00; 89,00; 536,00; 41; 981
201909;AL;BRANQUINHA;2721;164,48029; 70,63768;  1953;130,00;193,00; 89,00; 428,48; 41; 625
201909;AL;CACIMBINHAS;2723;222,89528;125,68940;  2053;130,00;297,00; 89,00; 620,88; 41; 892
201909;AL;CAJUEIRO;2725;171,09838; 80,26461;  3527;130,00;209,00; 89,00; 464,74; 41; 838
201909;AL;CAMPESTRE; 560;188,26680;109,52195;  1473; 91,00;251,00; 89,00; 545,00; 48; 882
201909;AL;CAMPO ALEGRE;2727;155,41615; 76,29166;  5921; 89,00;178,00; 89,00; 446,80; 41; 974
201909;AL;CAMPO GRANDE;2729;275,46997;132,30450;  2298;179,00;357,00; 89,00; 625,00; 48; 970
201909;AL;CANAPI;2731;259,47925;143,59192;  4386;161,00;341,00; 89,00; 705,15; 41; 986
