AnoMesReferencia;UF;NomeMunicipioSIAFI;CodigoMunicipioSIAFI;meanValor;sdValor;nBeneficios;quantile25;quantile75;quantile01;quantile99;minValor;maxValor
201309;AC;ACRELANDIA; 643;170,47488; 99,98028;  1672;102,0;212,0; 32,00;492,00; 32; 632
201309;AC;ASSIS BRASIL; 157;257,88542;134,45907;   960;152,0;352,0; 70,00;639,38; 32; 772
201309;AC;BRASILEIA; 105;181,74293;103,08712;  2723;108,0;224,0; 32,00;532,00; 32; 772
201309;AC;BUJARI; 645;200,38554;114,18362;  1079;112,0;260,0; 32,00;546,88; 32; 834
201309;AC;CAPIXABA; 647;163,55069; 99,67702;  1233;102,0;204,0; 32,00;489,44; 32; 968
201309;AC;CRUZEIRO DO SUL; 107;238,11818;129,86518;  9646;140,0;302,0; 38,00;632,00; 32; 994
201309;AC;EPITACIOLANDIA; 651;162,30571; 85,79147;  1472;102,0;202,0; 32,00;422,00; 32; 622
201309;AC;FEIJO; 113;247,66658;142,46655;  3917;134,0;336,0; 32,00;682,00; 32; 982
201309;AC;JORDAO; 653;274,48533;152,76909;  1125;166,0;352,0; 38,00;702,00; 32; 842
201309;AC;MANCIO LIMA; 109;279,44526;135,74771;  2466;179,0;352,0; 70,00;702,00; 32; 912
201309;AC;MANOEL URBANO; 155;275,84704;146,93056;  1216;152,0;352,0; 42,80;702,00; 32;1052
201309;AC;MARECHAL THAUMATURGO; 655;272,95303;149,18714;  1895;166,0;352,0; 38,00;702,00; 32; 968
201309;AC;PLACIDO DE CASTRO; 151;158,87387; 80,62713;  1776;102,0;198,0; 32,00;430,00; 32; 672
201309;AC;PORTO ACRE; 649;195,84529;107,31381;  2327;112,0;252,0; 32,00;531,48; 32; 738
201309;AC;PORTO WALTER; 657;275,55973;154,86754;  1172;163,5;362,0; 56,46;710,00; 32; 932
201309;AC;RIO BRANCO; 139;160,20299; 87,03458; 24376;102,0;198,0; 32,00;464,00; 32; 786
201309;AC;RODRIGUES ALVES; 659;222,92254;129,51597;  1988;134,0;282,0; 38,00;632,00; 32;1074
201309;AC;SANTA ROSA DO PURUS; 661;315,07544;156,10832;   623;212,0;422,0; 65,32;702,00; 38; 842
201309;AC;SENA MADUREIRA; 145;207,19918;120,75658;  5347;134,0;266,0; 32,00;622,00; 32; 894
201309;AC;SENADOR GUIOMARD; 153;181,50832; 96,98213;  2343;122,0;212,0; 32,00;492,00; 32; 772
201309;AC;TARAUACA; 147;282,40991;164,99814;  3874;160,5;377,5; 38,00;772,00; 32; 982
201309;AC;XAPURI; 149;190,13923;108,48670;  1652;118,0;232,0; 32,00;562,00; 32; 794
201309;AL;AGUA BRANCA;2701;216,26276;127,44360;  3212;132,0;282,0; 38,00;632,00; 32; 806
201309;AL;ANADIA;2703;135,50855; 62,03333;  2808;102,0;166,0; 32,00;352,00; 32; 478
