AnoMesReferencia;UF;NomeMunicipioSIAFI;CodigoMunicipioSIAFI;meanValor;sdValor;nBeneficios;quantile25;quantile75;quantile01;quantile99;minValor;maxValor
201603;AC;ACRELANDIA; 643;188,84119;105,62797;  1845;112,00;233,00;35,00;540,00;35; 816
201603;AC;ASSIS BRASIL; 157;282,56204;162,77117;  1096;156,00;386,00;35,00;772,00;35; 926
201603;AC;BRASILEIA; 105;188,11039;106,58047;  3379;112,00;233,00;35,00;557,30;35; 848
201603;AC;BUJARI; 645;188,64121;109,28277;  1257;112,00;227,00;35,00;572,88;35; 734
201603;AC;CAPIXABA; 647;168,82403;103,54832;  1165;112,00;209,00;35,00;544,96;35; 848
201603;AC;CRUZEIRO DO SUL; 107;270,43837;156,25188; 10320;147,00;362,00;35,00;742,00;35;1156
201603;AC;EPITACIOLANDIA; 651;185,06731;102,73215;  1649;112,00;233,00;35,00;536,16;35; 902
201603;AC;FEIJO; 113;287,53680;151,51582;  5285;156,00;386,00;77,00;758,64;35;1010
201603;AC;JORDAO; 653;306,26863;173,32230;  1154;164,50;390,00;42,00;814,34;35; 926
201603;AC;MANCIO LIMA; 109;291,82465;155,57085;  2840;156,00;386,00;77,00;772,00;35;1157
201603;AC;MANOEL URBANO; 155;325,38007;172,06408;  1355;217,00;389,50;70,00;776,60;35;1006
201603;AC;MARECHAL THAUMATURGO; 655;286,10568;163,85858;  2621;157,00;367,00;77,00;804,00;35;1002
201603;AC;PLACIDO DE CASTRO; 151;171,19882; 97,47395;  1690;112,00;217,00;35,00;540,00;35; 628
201603;AC;PORTO ACRE; 649;195,91352;111,07968;  2486;112,00;237,00;35,00;541,00;35; 849
201603;AC;PORTO WALTER; 657;283,53768;167,71741;  1380;154,00;380,00;70,00;784,52;35;1052
201603;AC;RIO BRANCO; 139;177,19769;101,26249; 25398;112,00;224,00;35,00;527,00;35;1002
201603;AC;RODRIGUES ALVES; 659;224,44820;132,80008;  2278;132,00;286,00;35,00;662,00;35; 964
201603;AC;SANTA ROSA DO PURUS; 661;366,54464;172,20023;   672;233,00;464,00;70,00;772,00;35; 848
201603;AC;SENA MADUREIRA; 145;240,87801;138,41226;  5763;147,00;307,00;35,00;673,52;35;1024
201603;AC;SENADOR GUIOMARD; 153;227,79485;117,67201;  2720;154,00;309,00;42,00;595,62;35; 772
201603;AC;TARAUACA; 147;303,84394;170,19635;  6049;156,00;387,00;70,00;788,24;35;1080
201603;AC;XAPURI; 149;180,04107; 93,09044;  1948;112,00;217,00;35,00;489,53;35; 734
201603;AL;AGUA BRANCA;2701;249,76053;143,27198;  2802;147,00;310,00;35,00;694,00;35;1002
201603;AL;ANADIA;2703;145,31617; 73,26978;  2603;112,00;182,00;35,00;427,86;35; 742
201603;AL;ARAPIRACA;2705;144,74103; 73,68187; 22292;112,00;182,00;35,00;387,00;35; 772
201603;AL;ATALAIA;2707;157,08184; 85,34977;  7405;112,00;185,00;35,00;464,00;35; 826
201603;AL;BARRA DE SANTO ANTONIO;2709;170,59690; 89,03352;  2843;112,00;217,00;35,00;463,00;35; 694
201603;AL;BARRA DE SAO MIGUEL;2711;165,84387; 82,59211;  1044;112,00;200,50;38,01;439,13;35; 586
201603;AL;BATALHA;2713;204,39175;105,64632;  3224;116,00;274,00;70,00;503,62;35; 794
201603;AL;BELEM;2715;170,43529; 93,67585;   765;112,00;209,00;35,00;515,44;35; 842
201603;AL;BELO MONTE;2717;214,62622;108,98971;  1541;132,00;285,00;77,00;519,60;42; 762
201603;AL;BOCA DA MATA;2719;175,17160;101,22340;  3817;112,00;231,00;35,00;540,00;35; 830
201603;AL;BRANQUINHA;2721;148,40234; 65,81891;  1797;112,00;182,00;35,00;388,20;35; 578
201603;AL;CACIMBINHAS;2723;196,98022;108,04539;  2326;116,00;249,00;77,00;541,00;35; 964
201603;AL;CAJUEIRO;2725;142,61750; 62,90111;  3600;112,00;175,00;35,00;368,12;35; 750
201603;AL;CAMPESTRE; 560;164,48449; 85,55674;  1193;112,00;209,00;76,44;456,64;35; 686
201603;AL;CAMPO ALEGRE;2727;126,62022; 53,13159;  7004; 77,00;147,00;42,00;305,88;35; 596
201603;AL;CAMPO GRANDE;2729;261,23016;125,63512;  2129;156,00;310,00;77,00;618,00;35; 878
201603;AL;CANAPI;2731;223,12794;123,45744;  3869;132,00;285,00;77,00;641,00;35; 898
201603;AL;CAPELA;2733;160,02940; 87,43694;  2381;112,00;189,00;35,00;471,40;35; 694
201603;AL;CARNEIROS;2735;256,53430;132,88861;  1662;155,00;310,00;77,00;644,52;35; 848
201603;AL;CHA PRETA;2737;239,55277;127,76226;  1317;152,00;309,00;77,00;617,84;35; 926
201603;AL;COITE DO NOIA;2739;210,69609;106,73339;  1892;131,00;273,00;35,00;545,72;35; 886
