AnoMesReferencia;UF;NomeMunicipioSIAFI;CodigoMunicipioSIAFI;meanValor;sdValor;nBeneficios;quantile25;quantile75;quantile01;quantile99;minValor;maxValor
201606;AC;ACRELANDIA; 643;188,82231;103,80789;  1829;112,00;233,00;35,00;540,00;35; 816
201606;AC;ASSIS BRASIL; 157;282,41338;163,23376;  1091;156,00;386,00;35,00;772,00;35; 926
201606;AC;BRASILEIA; 105;188,38285;105,80063;  3440;112,00;232,00;35,00;565,88;35; 848
201606;AC;BUJARI; 645;188,05814;106,03450;  1290;112,00;224,00;35,00;572,22;35; 702
201606;AC;CAPIXABA; 647;170,45343;102,76429;  1138;112,00;210,00;35,00;547,93;35; 848
201606;AC;CRUZEIRO DO SUL; 107;276,04471;155,95233; 10221;154,00;367,00;35,00;750,00;35;1156
201606;AC;EPITACIOLANDIA; 651;185,35123;102,85434;  1620;112,00;233,00;35,00;531,05;35; 902
201606;AC;FEIJO; 113;293,17938;150,91946;  5296;156,00;386,00;77,00;762,00;35;1010
201606;AC;JORDAO; 653;310,55275;174,12971;  1147;179,00;415,00;70,00;828,16;35; 926
201606;AC;MANCIO LIMA; 109;299,71574;155,20617;  2853;156,00;386,00;77,00;772,00;35;1157
201606;AC;MANOEL URBANO; 155;329,75346;168,81781;  1371;224,00;409,00;74,90;782,00;35;1002
201606;AC;MARECHAL THAUMATURGO; 655;288,37337;162,66397;  2614;166,00;370,75;77,00;780,70;35;1002
201606;AC;PLACIDO DE CASTRO; 151;175,21790; 99,81346;  1721;112,00;217,00;35,00;540,80;35; 695
201606;AC;PORTO ACRE; 649;197,84482;109,51148;  2481;112,00;237,00;35,00;541,00;35; 849
201606;AC;PORTO WALTER; 657;288,25127;168,47962;  1373;154,00;385,00;70,00;794,00;35; 992
201606;AC;RIO BRANCO; 139;179,79692;101,41358; 25300;112,00;229,00;35,00;530,00;35; 926
201606;AC;RODRIGUES ALVES; 659;230,62260;136,28481;  2292;134,00;294,00;41,37;672,00;35; 964
201606;AC;SANTA ROSA DO PURUS; 661;366,32936;173,44502;   671;233,00;464,00;70,00;772,00;35; 926
201606;AC;SENA MADUREIRA; 145;245,48710;138,32131;  5697;147,00;310,00;35,00;676,00;35;1024
201606;AC;SENADOR GUIOMARD; 153;231,45838;116,87443;  2727;155,00;309,00;70,00;611,54;35; 772
201606;AC;TARAUACA; 147;306,92666;169,31952;  6027;172,00;387,00;70,00;804,00;35;1080
201606;AC;XAPURI; 149;180,89403; 94,03663;  1925;112,00;217,00;35,00;496,76;35; 734
201606;AL;AGUA BRANCA;2701;254,42658;142,07179;  2792;147,00;310,00;35,00;694,00;35;1002
201606;AL;ANADIA;2703;147,45310; 71,58328;  2644;112,00;182,00;35,00;413,69;35; 742
201606;AL;ARAPIRACA;2705;147,03068; 73,86468; 21904;112,00;182,00;35,00;387,00;35; 772
201606;AL;ATALAIA;2707;159,36598; 85,36161;  7432;112,00;189,00;35,00;464,00;35; 826
201606;AL;BARRA DE SANTO ANTONIO;2709;171,53843; 88,49746;  2823;112,00;217,00;35,00;463,00;35; 694
201606;AL;BARRA DE SAO MIGUEL;2711;169,92966; 84,76895;  1052;112,00;209,00;42,00;445,49;35; 618
201606;AL;BATALHA;2713;205,50574;105,16486;  3223;119,00;270,00;77,00;505,00;35; 728
201606;AL;BELEM;2715;173,62005; 95,26380;   758;112,00;220,00;35,00;517,04;35; 842
201606;AL;BELO MONTE;2717;215,16131;107,82707;  1525;133,00;285,00;77,00;517,56;42; 732
201606;AL;BOCA DA MATA;2719;179,21318;100,53714;  3809;112,00;232,00;35,00;540,00;35; 830
201606;AL;BRANQUINHA;2721;149,43641; 64,10919;  1785;112,00;182,00;35,00;387,12;35; 578
201606;AL;CACIMBINHAS;2723;197,86387;108,64721;  2292;119,00;254,00;77,00;561,72;35; 964
