AnoMesReferencia;UF;NomeMunicipioSIAFI;CodigoMunicipioSIAFI;meanValor;sdValor;nBeneficios;quantile25;quantile75;quantile01;quantile99;minValor;maxValor
201409;AC;ACRELANDIA; 643;192,86455;105,270924;  1831;112,00;233,00; 35,00;540,00; 35; 732
201409;AC;ASSIS BRASIL; 157;313,10849;154,549905;   931;189,00;387,00; 77,00;772,00; 42; 848
201409;AC;BRASILEIA; 105;192,82763;109,702141;  3272;112,00;233,00; 35,00;572,32; 35; 848
201409;AC;BUJARI; 645;208,45372;117,778647;  1210;124,25;252,00; 35,00;592,37; 35; 924
201409;AC;CAPIXABA; 647;179,68114;105,011461;  1267;112,00;224,00; 35,00;536,04; 35; 786
201409;AC;CRUZEIRO DO SUL; 107;279,64969;148,336304;  9580;156,00;367,00; 70,00;731,21; 35;1038
201409;AC;EPITACIOLANDIA; 651;193,63522;104,761697;  1675;119,00;233,00; 35,00;540,00; 35; 926
201409;AC;FEIJO; 113;292,13728;153,081690;  4815;156,00;386,00; 77,00;742,00; 35;1082
201409;AC;JORDAO; 653;306,12522;168,747183;  1126;182,00;387,00; 77,00;836,00; 35; 926
201409;AC;MANCIO LIMA; 109;304,32812;152,225605;  2560;182,00;387,00; 77,00;772,00; 42; 926
201409;AC;MANOEL URBANO; 155;312,29888;162,827204;  1335;182,00;387,00; 77,68;830,00; 70; 926
201409;AC;MARECHAL THAUMATURGO; 655;295,39683;163,285796;  2394;172,00;385,00; 77,00;782,00; 35;1022
201409;AC;PLACIDO DE CASTRO; 151;177,33666; 88,062907;  1806;112,00;217,00; 35,00;487,15; 35; 782
201409;AC;PORTO ACRE; 649;224,51131;117,209409;  2476;147,00;289,00; 35,00;579,75; 35; 816
201409;AC;PORTO WALTER; 657;304,68224;170,758836;  1284;166,00;408,00; 77,00;804,34; 35;1036
201409;AC;RIO BRANCO; 139;179,92727; 95,032542; 24130;112,00;222,00; 35,00;512,00; 35; 884
201409;AC;RODRIGUES ALVES; 659;227,93241;128,602071;  2175;147,00;286,00; 42,00;674,60; 35; 860
201409;AC;SANTA ROSA DO PURUS; 661;359,18885;169,698762;   646;232,00;463,00; 77,00;813,80; 70; 926
201409;AC;SENA MADUREIRA; 145;251,46559;137,547051;  5303;147,00;313,00; 77,00;685,98; 35;1226
201409;AC;SENADOR GUIOMARD; 153;214,02262;112,074071;  2476;147,00;262,00; 42,00;573,50; 35; 848
201409;AC;TARAUACA; 147;320,44510;174,649692;  5282;184,00;422,00; 77,00;838,76; 35;1080
201409;AC;XAPURI; 149;196,75578;101,956199;  1904;121,00;237,00; 35,00;521,97; 35; 782
201409;AL;AGUA BRANCA;2701;247,74346;141,958753;  3056;147,00;309,00; 70,00;694,00; 35;1002
201409;AL;ANADIA;2703;152,57373; 70,235299;  2794;112,00;182,00; 70,00;414,07; 35; 572
201409;AL;ARAPIRACA;2705;152,98807; 75,122631; 24979;112,00;182,00; 35,00;408,22; 35; 860
201409;AL;ATALAIA;2707;177,01159; 99,167950;  8022;112,00;217,00; 47,88;519,79; 35; 982
201409;AL;BARRA DE SANTO ANTONIO;2709;174,78500; 84,598812;  2707;112,00;217,00; 77,00;462,70; 35; 712
201409;AL;BARRA DE SAO MIGUEL;2711;171,91028; 80,296166;   992;112,00;204,25; 35,00;451,09; 35; 541
201409;AL;BATALHA;2713;214,58135;109,698362;  2895;126,00;285,00; 77,00;533,06; 35; 794
201409;AL;BELEM;2715;183,13165; 99,428928;   752;112,00;232,00; 38,57;500,27; 35; 995
201409;AL;BELO MONTE;2717;232,69307;118,310605;  1616;143,00;294,00; 77,00;599,95; 42; 854
201409;AL;BOCA DA MATA;2719;181,24310; 96,807305;  4237;112,00;232,00; 35,00;524,56; 35; 830
201409;AL;BRANQUINHA;2721;158,43316; 68,625671;  1773;112,00;182,00; 70,00;418,00; 35; 686
201409;AL;CACIMBINHAS;2723;201,89505;107,653172;  2182;124,00;261,00; 77,00;563,33; 35; 996
201409;AL;CAJUEIRO;2725;157,59979; 69,061546;  3748;112,00;182,00; 77,00;398,00; 35; 750
201409;AL;CAMPESTRE; 560;178,93968; 91,953408;  1177;112,00;210,00; 77,00;521,00; 77; 808
201409;AL;CAMPO ALEGRE;2727;132,35996; 55,717894;  7148; 77,00;154,00; 70,00;322,00; 35; 554
201409;AL;CAMPO GRANDE;2729;247,04055;127,479655;  2096;155,00;309,00; 77,00;618,00; 35; 926
201409;AL;CANAPI;2731;237,46658;128,801134;  3650;142,00;297,00; 77,00;659,00; 35; 968
201409;AL;CAPELA;2733;169,77016; 89,470813;  2641;112,00;206,00; 35,00;505,00; 35; 694
201409;AL;CARNEIROS;2735;260,53243;137,601192;  1542;155,00;310,00; 77,00;694,00; 35; 848
201409;AL;CHA PRETA;2737;226,38278;123,168207;  1301;147,00;309,00; 77,00;552,00; 35; 848
201409;AL;COITE DO NOIA;2739;215,59515;105,796212;  2060;136,00;277,00; 77,00;545,00; 35; 886
201409;AL;COLONIA LEOPOLDINA;2741;182,22354;105,943686;  3543;112,00;230,00; 77,00;541,00; 35; 860
201409;AL;COQUEIRO SECO;2743;157,74858; 81,152122;   883;112,00;182,00; 70,00;490,18; 35; 623
201409;AL;CORURIPE;2745;148,29689; 63,851004;  7171;112,00;182,00; 35,00;367,00; 35; 685
201409;AL;CRAIBAS;2889;229,43860;114,751758;  4674;147,00;296,75; 77,00;570,00; 35; 925
201409;AL;DELMIRO GOUVEIA;2747;178,14765; 93,797646;  5872;112,00;217,00; 42,00;526,87; 35; 926
201409;AL;DOIS RIACHOS;2749;145,68368; 69,761422;  2371;105,00;182,00; 77,00;398,00; 35; 722
201409;AL;ESTRELA DE ALAGOAS;2643;208,12513;110,812741;  2933;125,00;265,00; 77,00;583,44; 35; 964
201409;AL;FEIRA GRANDE;2751;164,81618; 82,424183;  4499;112,00;196,00; 77,00;442,02; 35; 849
201409;AL;FELIZ DESERTO;2753;157,95925; 77,469564;   859;112,00;189,00; 35,00;425,08; 35; 506
201409;AL;FLEXEIRAS;2755;168,27658; 88,218768;  2361;112,00;210,00; 77,00;478,40; 35; 750
201409;AL;GIRAU DO PONCIANO;2757;192,89767;104,030058;  6020;112,00;237,00; 77,00;540,00; 35; 925
201409;AL;IBATEGUARA;2759;204,68610;104,774674;  2762;121,25;261,00; 77,00;561,39; 35; 854
201409;AL;IGACI;2761;231,31898;116,692354;  5038;147,00;301,00; 77,00;598,41; 35; 848
201409;AL;IGREJA NOVA;2763;143,89092; 62,812708;  3823;112,00;167,00; 35,00;372,00; 35; 848
201409;AL;INHAPI;2765;226,18597;127,224422;  3393;139,00;293,00; 70,00;650,64; 35;1052
201409;AL;JACARE DOS HOMENS;2767;156,70000; 79,480767;  1060;112,00;186,00; 74,13;452,00; 35; 651
201409;AL;JACUIPE;2769;147,06454; 62,984200;  1255;112,00;182,00; 77,00;339,76; 42; 540
201409;AL;JAPARATINGA;2771;204,58153;107,374080;  1429;124,00;276,00; 77,00;526,72; 35; 732
201409;AL;JARAMATAIA;2773;179,91130; 99,216240;  1071;112,00;226,50; 74,90;538,60; 35; 848
201409;AL;JEQUIA DA PRAIA; 562;183,47161; 96,266185;  2184;112,00;233,00; 70,00;464,00; 35; 926
201409;AL;JOAQUIM GOMES;2775;192,15642;112,834041;  4245;112,00;233,00; 77,00;560,64; 35; 964
201409;AL;JUNDIA;2777;193,35309;110,703710;   810;112,00;233,00; 77,00;540,91; 35; 694
201409;AL;JUNQUEIRO;2779;171,04454; 86,011666;  4288;112,00;209,00; 77,00;463,00; 35; 860
201409;AL;LAGOA DA CANOA;2781;188,54195; 98,034261;  3552;112,00;233,00; 77,00;480,43; 35; 650
201409;AL;LIMOEIRO DE ANADIA;2783;200,92285; 99,634352;  4666;121,00;262,00; 77,00;498,35; 35; 842
201409;AL;MACEIO;2785;146,17822; 68,312071; 86942;112,00;182,00; 35,00;386,00; 35; 926
201409;AL;MAJOR ISIDORO;2787;148,57328; 67,674834;  3398;112,00;182,00; 77,00;410,00; 35; 695
201409;AL;MAR VERMELHO;2797;232,97685;125,674941;   691;154,50;309,00; 70,00;618,00; 35; 926
201409;AL;MARAGOGI;2789;154,88547; 75,213640;  4968;112,00;182,00; 77,00;421,00; 35; 738
201409;AL;MARAVILHA;2791;174,09836; 98,085007;  2074;112,00;217,00; 77,00;492,00; 35; 902
201409;AL;MARECHAL DEODORO;2793;204,88548;113,048527;  6872;119,00;261,00; 35,00;586,00; 35; 914
201409;AL;MARIBONDO;2795;142,36266; 68,170062;  2046;112,00;161,00; 35,00;386,55; 35; 829
201409;AL;MATA GRANDE;2799;187,62307;101,652311;  3953;112,00;232,00; 77,00;542,00; 35; 856
201409;AL;MATRIZ DE CAMARAGIBE;2801;160,06627; 80,525106;  4195;112,00;189,00; 70,00;442,00; 35; 760
201409;AL;MESSIAS;2803;154,70898; 79,032718;  2395;112,00;182,00; 35,00;463,00; 35; 925
201409;AL;MINADOR DO NEGRAO;2805;204,97803;110,157287;   865;126,00;252,00; 77,00;597,52; 35; 772
201409;AL;MONTEIROPOLIS;2807;182,48234; 93,103615;  1387;112,00;222,00; 77,00;505,14; 35; 716
201409;AL;MURICI;2809;179,74458; 93,881709;  4518;112,00;224,00; 35,00;520,83; 35; 772
201409;AL;NOVO LINO;2811;170,47015; 94,280499;  2295;112,00;210,00; 35,00;498,84; 35; 760
201409;AL;OLHO D'AGUA DAS FLORES;2813;147,04437; 60,607810;  2885;112,00;182,00; 70,00;344,00; 35; 626
201409;AL;OLHO D'AGUA DO CASADO;2815;196,11984;112,719277;  1477;112,00;237,00; 70,00;575,36; 35; 742
201409;AL;OLHO D'AGUA GRANDE;2817;252,22995;125,735789;  1122;152,00;309,00; 77,00;664,22; 70; 990
201409;AL;OLIVENCA;2819;242,02528;122,863744;  1978;151,00;305,00; 77,00;610,00; 35;1002
201409;AL;OURO BRANCO;2821;199,91336;105,659531;  2216;119,00;250,00; 77,00;577,10; 35; 830
201409;AL;PALESTINA;2823;179,14175; 91,846321;  1030;112,00;217,00; 77,00;514,00; 35; 652
201409;AL;PALMEIRA DOS INDIOS;2825;149,72874; 75,431076; 10993;112,00;182,00; 35,00;418,00; 35; 884
201409;AL;PAO DE ACUCAR;2827;155,38905; 75,141747;  4146;112,00;185,00; 77,00;440,00; 35; 772
201409;AL;PARICONHA;2645;209,13403;124,825580;  1634;112,25;262,00; 51,24;618,00; 35; 926
201409;AL;PARIPUEIRA;2641;173,50359; 80,230717;  1670;112,00;201,50; 35,00;478,00; 35; 594
201409;AL;PASSO DE CAMARAGIBE;2829;181,87519; 97,371931;  2684;112,00;232,00; 35,00;512,17; 35; 695
201409;AL;PAULO JACINTO;2831;153,52221; 77,120932;  1486; 85,00;189,00; 77,00;418,00; 35; 577
201409;AL;PENEDO;2833;156,61629; 74,732122;  9872;112,00;186,00; 77,00;418,00; 35; 738
201409;AL;PIACABUCU;2835;176,84002; 86,876525;  3413;112,00;224,00; 77,00;464,00; 35; 742
