AnoMesReferencia;UF;NomeMunicipioSIAFI;CodigoMunicipioSIAFI;meanValor;sdValor;nBeneficios;quantile25;quantile75;quantile01;quantile99;minValor;maxValor
201406;AC;ACRELANDIA; 643;188,52835;105,58177;  1834;112,00;232,00; 35,00; 541,00; 35; 732
201406;AC;ASSIS BRASIL; 157;307,93637;154,06440;   943;184,00;387,00; 77,00; 772,00; 35; 848
201406;AC;BRASILEIA; 105;190,47939;109,68856;  3323;112,00;233,00; 35,00; 571,56; 35; 848
201406;AC;BUJARI; 645;207,93469;119,20281;  1225;122,00;252,00; 35,00; 600,56; 35; 924
201406;AC;CAPIXABA; 647;180,05074;106,96647;  1281;112,00;224,00; 35,00; 535,20; 35;1066
201406;AC;CRUZEIRO DO SUL; 107;277,84397;149,07857;  9524;156,00;367,00; 70,00; 732,00; 35;1126
201406;AC;EPITACIOLANDIA; 651;190,47257;102,94373;  1659;112,00;233,00; 35,00; 528,98; 35; 926
201406;AC;FEIJO; 113;289,39885;153,15964;  4849;156,00;386,00; 77,00; 742,00; 35;1080
201406;AC;JORDAO; 653;307,54081;168,44911;  1115;182,00;387,00; 77,00; 836,88; 35; 926
201406;AC;MANCIO LIMA; 109;307,60295;151,61255;  2438;189,00;387,00; 77,00; 772,00; 42;1002
201406;AC;MANOEL URBANO; 155;321,22248;160,94867;  1272;217,00;387,00; 77,00; 818,18; 70; 926
201406;AC;MARECHAL THAUMATURGO; 655;293,26054;164,12048;  2395;161,00;385,00; 77,00; 772,60; 35;1066
201406;AC;PLACIDO DE CASTRO; 151;176,75217; 89,74194;  1840;112,00;217,00; 35,00; 521,22; 35; 782
201406;AC;PORTO ACRE; 649;222,53903;116,89677;  2447;147,00;286,00; 35,00; 594,54; 35; 816
201406;AC;PORTO WALTER; 657;298,66124;170,85195;  1290;158,00;386,00; 70,00; 784,21; 35;1036
201406;AC;RIO BRANCO; 139;177,30184; 94,44055; 24844;112,00;217,00; 35,00; 496,00; 35; 884
201406;AC;RODRIGUES ALVES; 659;227,07469;129,29255;  2209;134,00;286,00; 42,00; 670,24; 35; 860
201406;AC;SANTA ROSA DO PURUS; 661;357,58578;170,22769;   647;232,00;463,00; 70,00; 848,00; 35; 926
201406;AC;SENA MADUREIRA; 145;247,19993;135,86194;  5397;147,00;309,00; 76,72; 685,04; 35;1066
201406;AC;SENADOR GUIOMARD; 153;208,99672;109,95396;  2436;147,00;252,00; 35,00; 541,00; 35; 848
201406;AC;TARAUACA; 147;313,69089;174,03772;  5257;182,00;407,00; 77,00; 844,64; 35;1080
201406;AC;XAPURI; 149;195,49230;104,32214;  1948;119,00;236,00; 35,00; 543,65; 35; 860
201406;AL;AGUA BRANCA;2701;244,06916;142,31673;  3080;147,00;309,00; 40,53; 694,00; 35;1002
201406;AL;ANADIA;2703;150,86907; 70,03501;  2826;112,00;182,00; 70,00; 395,75; 35; 572
201406;AL;ARAPIRACA;2705;151,20456; 75,74891; 25416;112,00;182,00; 35,00; 415,00; 35; 860
201406;AL;ATALAIA;2707;176,56317;100,23658;  8010;112,00;218,00; 35,00; 518,64; 35; 982
201406;AL;BARRA DE SANTO ANTONIO;2709;172,32095; 81,91995;  2558;112,00;212,00; 73,99; 442,43; 35; 711
201406;AL;BARRA DE SAO MIGUEL;2711;173,52672; 81,15024;   917;112,00;210,00; 35,00; 452,00; 35; 541
201406;AL;BATALHA;2713;213,61150;110,78414;  2870;119,00;286,00; 77,00; 532,31; 35; 794
201406;AL;BELEM;2715;180,65741; 98,83990;   756;112,00;230,00; 35,00; 498,80; 35; 995
201406;AL;BELO MONTE;2717;233,42524;118,91371;  1585;143,00;294,00; 77,00; 601,16; 35; 854
201406;AL;BOCA DA MATA;2719;178,00000; 97,10849;  4293;112,00;232,00; 35,00; 522,32; 35; 848
201406;AL;BRANQUINHA;2721;160,02551; 70,95536;  1725;112,00;185,00; 70,00; 430,16; 35; 686
201406;AL;CACIMBINHAS;2723;204,96804;107,99573;  2034;124,50;262,00; 77,00; 566,69; 35;1038
201406;AL;CAJUEIRO;2725;158,42326; 70,38417;  3577;112,00;184,00; 77,00; 398,00; 35; 750
201406;AL;CAMPESTRE; 560;182,62990; 92,34059;  1097;112,00;229,00; 77,00; 521,04; 77; 808
201406;AL;CAMPO ALEGRE;2727;132,67251; 57,70145;  7136; 77,00;154,00; 70,00; 342,30; 35; 570
201406;AL;CAMPO GRANDE;2729;250,30406;127,33419;  1947;155,00;310,00; 77,00; 618,00; 35; 926
201406;AL;CANAPI;2731;239,59397;130,38114;  3480;144,00;301,00; 77,00; 668,84; 35; 968
201406;AL;CAPELA;2733;169,21674; 90,03061;  2653;112,00;206,00; 35,00; 501,88; 35; 746
201406;AL;CARNEIROS;2735;259,63959;138,53873;  1465;155,00;310,00; 77,00; 694,00; 35; 848
201406;AL;CHA PRETA;2737;216,79777;120,86661;  1256;134,00;286,00; 77,00; 556,50; 35; 848
201406;AL;COITE DO NOIA;2739;216,67974;106,98581;  2039;136,00;277,00; 77,00; 555,30; 35; 886
201406;AL;COLONIA LEOPOLDINA;2741;183,24215;106,75978;  3568;112,00;232,00; 70,00; 541,00; 35; 848
201406;AL;COQUEIRO SECO;2743;157,32530; 84,84517;   913;112,00;182,00; 35,00; 495,40; 35; 623
201406;AL;CORURIPE;2745;147,35228; 64,62012;  7460;112,00;182,00; 35,00; 370,00; 35; 695
201406;AL;CRAIBAS;2889;245,18483;122,34384;  4431;155,00;309,00; 77,00; 617,70; 35; 925
201406;AL;DELMIRO GOUVEIA;2747;179,99543; 96,01979;  6123;112,00;221,00; 42,00; 539,56; 35; 926
201406;AL;DOIS RIACHOS;2749;148,81441; 70,71778;  2193;112,00;182,00; 77,00; 408,56; 35; 722
201406;AL;ESTRELA DE ALAGOAS;2643;206,32872;110,51502;  2963;119,00;262,00; 77,00; 577,32; 35; 964
201406;AL;FEIRA GRANDE;2751;168,03362; 84,68048;  4194;112,00;209,00; 77,00; 452,42; 35; 849
201406;AL;FELIZ DESERTO;2753;157,78063; 77,51047;   857;112,00;188,00; 35,00; 449,56; 35; 506
201406;AL;FLEXEIRAS;2755;170,37788; 89,44608;  2260;112,00;210,00; 77,00; 493,64; 35; 750
201406;AL;GIRAU DO PONCIANO;2757;191,71210;104,33041;  6089;112,00;236,00; 77,00; 540,00; 35;1002
201406;AL;IBATEGUARA;2759;203,17210;102,78487;  2789;119,00;261,00; 77,00; 526,00; 35; 854
201406;AL;IGACI;2761;231,73158;116,96727;  4873;147,00;298,00; 77,00; 609,00; 35; 838
201406;AL;IGREJA NOVA;2763;144,48009; 64,31145;  3741;112,00;170,00; 35,00; 386,00; 35; 848
201406;AL;INHAPI;2765;227,10464;130,56544;  3469;137,00;293,00; 70,00; 668,00; 35;1052
201406;AL;JACARE DOS HOMENS;2767;158,78586; 84,21819;   990;112,00;186,00; 70,00; 453,21; 35; 651
201406;AL;JACUIPE;2769;148,88250; 62,58501;  1234;112,00;182,00; 77,00; 341,02; 42; 540
201406;AL;JAPARATINGA;2771;207,67708;107,97462;  1344;130,50;281,00; 77,00; 532,14; 35; 732
201406;AL;JARAMATAIA;2773;183,96401;100,84819;  1028;112,00;232,00; 71,89; 533,68; 35; 848
201406;AL;JEQUIA DA PRAIA; 562;184,44674; 96,77770;  2178;112,00;233,00; 70,00; 464,00; 35; 848
201406;AL;JOAQUIM GOMES;2775;190,41249;111,44690;  4291;112,00;233,00; 77,00; 541,00; 35; 964
201406;AL;JUNDIA;2777;195,08719;112,12639;   734;112,00;233,00; 77,00; 594,89; 35; 672
201406;AL;JUNQUEIRO;2779;173,60482; 86,50751;  4112;112,00;210,00; 77,00; 463,00; 35; 782
201406;AL;LAGOA DA CANOA;2781;190,95678; 99,27269;  3401;112,00;236,00; 77,00; 492,00; 35; 650
201406;AL;LIMOEIRO DE ANADIA;2783;200,08892; 99,91530;  4656;120,00;261,00; 77,00; 506,00; 35; 842
201406;AL;MACEIO;2785;146,07431; 69,02993; 89315;112,00;182,00; 35,00; 386,00; 35; 926
201406;AL;MAJOR ISIDORO;2787;149,20490; 69,66174;  3309;112,00;182,00; 77,00; 410,00; 35; 878
201406;AL;MAR VERMELHO;2797;233,44344;128,60423;   663;152,00;309,00; 70,00; 618,00; 35; 925
201406;AL;MARAGOGI;2789;156,32885; 75,63715;  4835;112,00;182,00; 77,00; 422,00; 35; 738
201406;AL;MARAVILHA;2791;179,20184;101,41754;  1952;112,00;229,25; 77,00; 512,00; 35; 902
201406;AL;MARECHAL DEODORO;2793;207,35025;116,61272;  6875;119,00;262,00; 35,00; 587,82; 35;1038
201406;AL;MARIBONDO;2795;140,81536; 67,16815;  2096;105,00;161,00; 35,00; 387,05; 35; 829
201406;AL;MATA GRANDE;2799;186,26346;102,87593;  4069;112,00;231,00; 77,00; 547,28; 35; 882
201406;AL;MATRIZ DE CAMARAGIBE;2801;158,74903; 80,05508;  4124;112,00;189,00; 70,00; 449,77; 35; 758
201406;AL;MESSIAS;2803;154,69806; 82,40402;  2421;112,00;182,00; 35,00; 463,80; 35; 925
201406;AL;MINADOR DO NEGRAO;2805;204,42612;110,04380;   873;122,00;252,00; 77,00; 596,96; 35; 694
201406;AL;MONTEIROPOLIS;2807;184,17510; 94,79597;  1285;112,00;222,00; 77,00; 523,60; 35; 716
201406;AL;MURICI;2809;178,50323; 95,35556;  4485;112,00;224,00; 35,00; 522,00; 35; 772
201406;AL;NOVO LINO;2811;167,62982; 92,54633;  2307;112,00;209,00; 35,00; 496,94; 35; 722
201406;AL;OLHO D'AGUA DAS FLORES;2813;146,31630; 62,53391;  2915;112,00;182,00; 70,00; 359,88; 35; 562
201406;AL;OLHO D'AGUA DO CASADO;2815;194,50309;113,12341;  1457;112,00;236,00; 35,00; 581,52; 35; 742
201406;AL;OLHO D'AGUA GRANDE;2817;254,90058;123,96765;  1026;154,00;309,00; 77,00; 666,50; 35; 990
201406;AL;OLIVENCA;2819;241,47350;123,58102;  1981;151,00;305,00; 77,00; 611,40; 35;1002
201406;AL;OURO BRANCO;2821;202,50405;107,26564;  2101;124,00;256,00; 77,00; 582,00; 35; 830
201406;AL;PALESTINA;2823;178,59303; 92,82014;  1005;112,00;217,00; 77,00; 514,00; 35; 652
201406;AL;PALMEIRA DOS INDIOS;2825;152,43096; 75,82481; 10516;112,00;184,00; 70,00; 421,00; 35; 884
201406;AL;PAO DE ACUCAR;2827;162,75718; 84,88212;  4180;112,00;189,00; 77,00; 470,42; 35; 772
201406;AL;PARICONHA;2645;206,87584;126,65686;  1643;112,00;259,00; 35,00; 618,00; 35;1156
201406;AL;PARIPUEIRA;2641;171,02564; 76,35520;  1638;112,00;196,00; 35,00; 463,60; 35; 562
201406;AL;PASSO DE CAMARAGIBE;2829;181,44578; 97,62483;  2656;112,00;231,25; 35,00; 512,45; 35; 694
201406;AL;PAULO JACINTO;2831;151,80923; 73,57907;  1452;112,00;189,00; 77,00; 406,82; 35; 577
201406;AL;PENEDO;2833;157,86407; 74,87528;  9490;112,00;187,00; 77,00; 418,00; 35; 738
201406;AL;PIACABUCU;2835;174,46287; 85,22146;  3420;112,00;216,00; 77,00; 458,00; 35; 742
201406;AL;PILAR;2837;140,20720; 70,24155;  5473;112,00;162,00; 35,00; 386,28; 35; 750
201406;AL;PINDOBA;2839;190,36296;101,64230;   405;115,00;233,00; 35,00; 463,96; 35; 694
201406;AL;PIRANHAS;2841;215,94142;123,95265;  4029;131,00;277,00; 70,00; 629,48; 35; 924
201406;AL;POCO DAS TRINCHEIRAS;2843;223,35657;126,71864;  2367;125,00;289,50; 77,00; 622,76; 35; 914
201406;AL;PORTO CALVO;2845;148,14698; 62,25447;  4089;112,00;182,00; 77,00; 374,36; 35; 668
201406;AL;PORTO DE PEDRAS;2847;150,15912; 76,79637;  1678; 77,00;184,75; 63,56; 415,69; 35; 750
201406;AL;PORTO REAL DO COLEGIO;2849;204,67184;113,34167;  3608;112,00;266,00; 70,00; 541,00; 35; 849
201406;AL;QUEBRANGULO;2851;208,65661;116,85966;  2187;112,00;285,50; 70,00; 544,78; 35; 772
201406;AL;RIO LARGO;2853;155,11949; 65,58726;  8988;112,00;182,00; 35,00; 392,00; 35; 782
201406;AL;ROTEIRO;2855;192,79050;100,48032;  1284;112,00;233,00; 77,00; 522,00; 35; 694
201406;AL;SANTA LUZIA DO NORTE;2857;162,36916; 83,69279;  1070;112,00;189,00; 35,00; 453,55; 35; 742
201406;AL;SANTANA DO IPANEMA;2859;192,44678;106,37550;  7675;112,00;236,00; 77,00; 541,00; 35; 926
201406;AL;SANTANA DO MUNDAU;2861;156,47869; 79,16980;  1713;112,00;189,00; 70,00; 422,00; 35; 772
