AnoMesReferencia;UF;NomeMunicipioSIAFI;CodigoMunicipioSIAFI;meanValor;sdValor;nBeneficios;quantile25;quantile75;quantile01;quantile99;minValor;maxValor
201703;AC;ACRELANDIA; 643;199,42153;113,18502;  1765;124,00;244,00;39,00; 572,16;39; 892
201703;AC;ASSIS BRASIL; 157;295,63369;178,56553;  1122;163,00;377,00;39,00; 852,00;39;1022
201703;AC;BRASILEIA; 105;208,21723;116,98186;  3669;124,00;256,00;39,00; 597,00;39;1106
201703;AC;BUJARI; 645;210,91758;122,81847;  1371;124,00;251,50;39,00; 662,90;39; 837
201703;AC;CAPIXABA; 647;183,68999;118,62316;  1129;117,00;227,00;39,00; 612,12;39; 936
201703;AC;CRUZEIRO DO SUL; 107;298,55799;173,43152; 10425;163,00;401,00;39,00; 822,00;39;1276
201703;AC;EPITACIOLANDIA; 651;205,23244;111,81331;  1523;124,00;257,00;39,00; 593,80;39; 998
201703;AC;FEIJO; 113;327,76662;165,87737;  5446;179,50;426,00;85,00; 852,00;39;1192
201703;AC;JORDAO; 653;333,95567;192,17209;  1218;172,00;450,00;39,00; 923,13;39;1010
201703;AC;MANCIO LIMA; 109;314,81103;170,42358;  3027;172,00;426,00;46,00; 852,00;39;1192
201703;AC;MANOEL URBANO; 155;330,00509;182,20597;  1572;172,00;427,00;46,00; 852,00;39;1106
201703;AC;MARECHAL THAUMATURGO; 655;310,97860;178,48902;  2757;172,00;402,00;78,00; 834,64;39;1192
201703;AC;PLACIDO DE CASTRO; 151;193,22646;114,06882;  1678;124,00;241,00;39,00; 597,00;39; 936
201703;AC;PORTO ACRE; 649;214,84927;117,23426;  2521;124,00;258,00;39,00; 597,00;39; 878
201703;AC;PORTO WALTER; 657;303,86948;183,58536;  1471;163,00;415,00;68,40; 838,00;39;1122
201703;AC;RIO BRANCO; 139;203,40275;118,16128; 24087;124,00;257,00;39,00; 596,00;39;1702
201703;AC;RODRIGUES ALVES; 659;259,26824;154,27958;  2330;147,00;330,50;46,00; 743,68;39;1052
201703;AC;SANTA ROSA DO PURUS; 661;386,05752;190,12823;   765;256,00;511,00;78,00; 852,00;39;1022
201703;AC;SENA MADUREIRA; 145;265,20340;151,75337;  5816;163,00;341,00;39,00; 747,10;39;1106
201703;AC;SENADOR GUIOMARD; 153;256,15773;129,00805;  3284;172,00;341,00;39,00; 669,38;39;1022
201703;AC;TARAUACA; 147;330,74830;186,43322;  6166;172,00;427,00;39,00; 904,00;39;1192
201703;AC;XAPURI; 149;194,07056;104,10903;  1970;124,00;241,00;39,00; 568,00;39; 782
201703;AL;AGUA BRANCA;2701;282,28088;153,03500;  2987;163,00;342,00;46,00; 766,00;39;1106
201703;AL;ANADIA;2703;165,45775; 83,74138;  2698;124,00;202,00;46,00; 464,42;39; 904
201703;AL;ARAPIRACA;2705;165,24202; 84,73901; 21697;124,00;202,00;39,00; 435,04;39; 760
201703;AL;ATALAIA;2707;181,19258; 98,92862;  7010;124,00;220,00;39,00; 532,64;39; 826
201703;AL;BARRA DE SANTO ANTONIO;2709;182,77191; 95,06442;  3104;124,00;227,00;46,00; 487,97;39; 694
201703;AL;BARRA DE SAO MIGUEL;2711;184,13648; 98,27604;  1143;124,00;237,50;39,00; 499,00;39; 852
201703;AL;BATALHA;2713;224,37259;118,30048;  3269;124,00;302,00;46,00; 562,00;39; 990
201703;AL;BELEM;2715;197,34845;107,15265;   772;124,00;250,00;39,00; 511,00;39; 842
201703;AL;BELO MONTE;2717;231,87457;119,07517;  1451;139,00;309,50;78,00; 569,00;39; 812
201703;AL;BOCA DA MATA;2719;198,33564;111,05209;  3894;124,00;256,00;39,00; 596,00;39; 936
201703;AL;BRANQUINHA;2721;165,46070; 74,89886;  1832;124,00;202,00;39,00; 446,83;39; 650
201703;AL;CACIMBINHAS;2723;207,26847;116,63586;  2328;124,00;269,00;85,00; 583,00;39;1068
201703;AL;CAJUEIRO;2725;161,52318; 72,92643;  3538;124,00;202,00;39,00; 427,00;39; 837
201703;AL;CAMPESTRE; 560;186,69269; 98,90123;  1217;124,00;241,00;85,00; 508,92;39; 782
201703;AL;CAMPO ALEGRE;2727;140,72934; 60,49879;  6994; 85,00;163,00;78,00; 342,00;39; 682
201703;AL;CAMPO GRANDE;2729;282,11864;136,08262;  2183;172,00;342,00;85,00; 682,00;39;1106
201703;AL;CANAPI;2731;257,64160;136,28278;  3750;156,00;322,00;85,00; 712,51;39;1052
201703;AL;CAPELA;2733;180,71062; 97,32655;  2298;124,00;217,75;39,00; 526,00;39; 752
201703;AL;CARNEIROS;2735;282,91949;145,70015;  1652;172,00;342,00;81,57; 682,00;39; 936
